incident_id;commande_id;type_incident;gravite
I000001;CMD062948;Perte;Élevée
I000002;CMD032139;Autre;Moyenne
I000003;CMD052492;Retard;Faible
I000004;CMD015226;Perte;Élevée
I000005;CMD037706;Détérioration;Moyenne
I000006;CMD037049;Autre;Moyenne
I000007;CMD083139;Autre;Moyenne
I000008;CMD067246;Détérioration;Faible
I000009;CMD026162;Autre;Élevée
I000010;CMD077159;Retard;Élevée
I000011;CMD041255;Perte;Faible
I000012;CMD035883;Autre;Moyenne
I000013;CMD082517;Autre;Faible
I000014;CMD044807;Détérioration;Faible
I000015;CMD087120;Retard;Faible
I000016;CMD076564;Perte;Moyenne
I000017;CMD058783;Détérioration;Moyenne
I000018;CMD000041;Autre;Élevée
I000019;CMD097605;Autre;Faible
I000020;CMD019568;Autre;Faible
I000021;CMD068401;Autre;Élevée
I000022;CMD073542;Détérioration;Élevée
I000023;CMD022480;Autre;Élevée
I000024;CMD020327;Détérioration;Élevée
I000025;CMD057450;Perte;Moyenne
I000026;CMD006521;Détérioration;Élevée
I000027;CMD092379;Autre;Moyenne
I000028;CMD051774;Perte;Faible
I000029;CMD063390;Autre;Moyenne
I000030;CMD062713;Autre;Moyenne
I000031;CMD049786;Retard;Élevée
I000032;CMD040802;Retard;Faible
I000033;CMD092095;Détérioration;Faible
I000034;CMD048566;Retard;Élevée
I000035;CMD073773;Perte;Élevée
I000036;CMD059779;Retard;Faible
I000037;CMD001447;Retard;Faible
I000038;CMD054077;Perte;Élevée
I000039;CMD023594;Perte;Faible
I000040;CMD047659;Autre;Moyenne
I000041;CMD095765;Autre;Faible
I000042;CMD003900;Retard;Moyenne
I000043;CMD030412;Retard;Moyenne
I000044;CMD066580;Autre;Faible
I000045;CMD097726;Retard;Moyenne
I000046;CMD023092;Détérioration;Moyenne
I000047;CMD036931;Retard;Moyenne
I000048;CMD008194;Perte;Faible
I000049;CMD096815;Perte;Élevée
I000050;CMD052410;Perte;Élevée
I000051;CMD018090;Autre;Moyenne
I000052;CMD056852;Autre;Faible
I000053;CMD019041;Perte;Élevée
I000054;CMD094058;Perte;Faible
I000055;CMD030623;Autre;Moyenne
I000056;CMD074957;Perte;Moyenne
I000057;CMD000423;Détérioration;Faible
I000058;CMD099572;Autre;Faible
I000059;CMD014450;Retard;Élevée
I000060;CMD087973;Perte;Moyenne
I000061;CMD046958;Détérioration;Faible
I000062;CMD086621;Autre;Faible
I000063;CMD095525;Retard;Élevée
I000064;CMD046138;Retard;Faible
I000065;CMD090619;Perte;Moyenne
I000066;CMD076945;Détérioration;Moyenne
I000067;CMD067983;Détérioration;Élevée
I000068;CMD003528;Perte;Élevée
I000069;CMD067668;Retard;Faible
I000070;CMD080747;Autre;Faible
I000071;CMD068111;Autre;Faible
I000072;CMD021146;Perte;Faible
I000073;CMD058616;Retard;Moyenne
I000074;CMD002019;Détérioration;Moyenne
I000075;CMD033046;Détérioration;Moyenne
I000076;CMD099577;Retard;Moyenne
I000077;CMD069127;Autre;Faible
I000078;CMD099188;Autre;Élevée
I000079;CMD051400;Détérioration;Élevée
I000080;CMD002520;Perte;Élevée
I000081;CMD057702;Retard;Faible
I000082;CMD040875;Autre;Élevée
I000083;CMD097224;Retard;Moyenne
I000084;CMD033851;Détérioration;Moyenne
I000085;CMD030228;Perte;Élevée
I000086;CMD051723;Détérioration;Moyenne
I000087;CMD048416;Perte;Élevée
I000088;CMD082670;Autre;Moyenne
I000089;CMD082658;Détérioration;Faible
I000090;CMD080468;Perte;Faible
I000091;CMD073564;Détérioration;Faible
I000092;CMD033344;Autre;Faible
I000093;CMD098094;Détérioration;Faible
I000094;CMD004787;Retard;Élevée
I000095;CMD089016;Autre;Faible
I000096;CMD005360;Autre;Moyenne
I000097;CMD064678;Détérioration;Élevée
I000098;CMD050449;Retard;Faible
I000099;CMD036734;Retard;Moyenne
I000100;CMD018554;Autre;Moyenne
I000101;CMD048926;Autre;Faible
I000102;CMD015579;Détérioration;Élevée
I000103;CMD005192;Autre;Moyenne
I000104;CMD095897;Autre;Moyenne
I000105;CMD008266;Détérioration;Faible
I000106;CMD078272;Détérioration;Élevée
I000107;CMD047839;Autre;Moyenne
I000108;CMD087711;Autre;Moyenne
I000109;CMD017542;Retard;Faible
I000110;CMD063287;Autre;Élevée
I000111;CMD045577;Autre;Élevée
I000112;CMD019201;Autre;Faible
I000113;CMD083660;Détérioration;Élevée
I000114;CMD025068;Retard;Faible
I000115;CMD072940;Perte;Moyenne
I000116;CMD046200;Perte;Faible
I000117;CMD016308;Retard;Faible
I000118;CMD092464;Détérioration;Faible
I000119;CMD043925;Autre;Faible
I000120;CMD015692;Détérioration;Moyenne
I000121;CMD048955;Retard;Élevée
I000122;CMD086436;Retard;Élevée
I000123;CMD040931;Autre;Moyenne
I000124;CMD068821;Perte;Moyenne
I000125;CMD089903;Détérioration;Faible
I000126;CMD066726;Détérioration;Moyenne
I000127;CMD083759;Détérioration;Faible
I000128;CMD045003;Retard;Élevée
I000129;CMD092744;Autre;Faible
I000130;CMD082045;Perte;Élevée
I000131;CMD082600;Autre;Faible
I000132;CMD096964;Autre;Faible
I000133;CMD005378;Perte;Moyenne
I000134;CMD023836;Autre;Faible
I000135;CMD017415;Détérioration;Élevée
I000136;CMD088235;Retard;Élevée
I000137;CMD032105;Perte;Faible
I000138;CMD006859;Autre;Moyenne
I000139;CMD012912;Retard;Faible
I000140;CMD025577;Perte;Élevée
I000141;CMD021580;Retard;Élevée
I000142;CMD055791;Autre;Faible
I000143;CMD013395;Retard;Élevée
I000144;CMD092697;Autre;Élevée
I000145;CMD094279;Détérioration;Faible
I000146;CMD054747;Retard;Élevée
I000147;CMD081253;Retard;Moyenne
I000148;CMD070001;Retard;Élevée
I000149;CMD005344;Détérioration;Moyenne
I000150;CMD090390;Retard;Moyenne
I000151;CMD007307;Retard;Moyenne
I000152;CMD024066;Autre;Moyenne
I000153;CMD076869;Autre;Moyenne
I000154;CMD045205;Autre;Élevée
I000155;CMD093132;Retard;Faible
I000156;CMD063821;Retard;Élevée
I000157;CMD059448;Détérioration;Moyenne
I000158;CMD049965;Détérioration;Faible
I000159;CMD029274;Autre;Moyenne
I000160;CMD044508;Détérioration;Moyenne
I000161;CMD032186;Perte;Moyenne
I000162;CMD038658;Perte;Faible
I000163;CMD055156;Détérioration;Élevée
I000164;CMD065041;Perte;Faible
I000165;CMD004203;Retard;Moyenne
I000166;CMD012811;Retard;Faible
I000167;CMD087387;Perte;Faible
I000168;CMD007713;Détérioration;Faible
I000169;CMD057588;Perte;Faible
I000170;CMD092586;Perte;Moyenne
I000171;CMD084818;Autre;Moyenne
I000172;CMD013026;Perte;Élevée
I000173;CMD072808;Autre;Élevée
I000174;CMD065807;Autre;Élevée
I000175;CMD072289;Autre;Moyenne
I000176;CMD077461;Détérioration;Moyenne
I000177;CMD061961;Autre;Élevée
