produit_id;nom_produit;categorie
P000001;Institution;Textile
P000002;Threat;Loisir
P000003;Large;Loisir
P000004;Will;Maison
P000005;Her;Électronique
P000006;Adult;Loisir
P000007;Another;Textile
P000008;Beat;Alimentaire
P000009;Spring;Électronique
P000010;Candidate;Textile
P000011;Company;Loisir
P000012;Recent;Loisir
P000013;Fear;Loisir
P000014;Image;Loisir
P000015;Last;Alimentaire
P000016;Way;Électronique
P000017;Young;Électronique
P000018;Article;Alimentaire
P000019;Work;Loisir
P000020;Modern;Maison
P000021;Hold;Textile
P000022;Base;Textile
P000023;Fill;Textile
P000024;Morning;Textile
P000025;Region;Textile
P000026;Probably;Textile
P000027;Speech;Textile
P000028;Black;Loisir
P000029;Still;Maison
P000030;Evening;Loisir
P000031;Common;Loisir
P000032;At;Maison
P000033;Gas;Maison
P000034;Reflect;Électronique
P000035;Chance;Électronique
P000036;Tax;Électronique
P000037;Drug;Loisir
P000038;Grow;Alimentaire
P000039;Baby;Textile
P000040;Spend;Alimentaire
P000041;Glass;Alimentaire
P000042;But;Loisir
P000043;Themselves;Loisir
P000044;Stand;Textile
P000045;Fast;Loisir
P000046;Something;Alimentaire
P000047;See;Maison
P000048;Minute;Alimentaire
P000049;Look;Maison
P000050;Several;Électronique
P000051;Different;Maison
P000052;Economy;Textile
P000053;Heart;Maison
P000054;Star;Électronique
P000055;Court;Alimentaire
P000056;Sometimes;Maison
P000057;Hospital;Loisir
P000058;Later;Loisir
P000059;Of;Textile
P000060;American;Maison
P000061;Quickly;Électronique
P000062;Open;Alimentaire
P000063;Field;Maison
P000064;Professor;Loisir
P000065;Account;Loisir
P000066;Close;Textile
P000067;Skin;Maison
P000068;Hard;Maison
P000069;Resource;Textile
P000070;Feel;Maison
P000071;Produce;Loisir
P000072;Amount;Maison
P000073;President;Maison
P000074;Few;Loisir
P000075;Change;Maison
P000076;Down;Électronique
P000077;Thing;Loisir
P000078;Meeting;Alimentaire
P000079;Arrive;Maison
P000080;Republican;Alimentaire
P000081;Letter;Alimentaire
P000082;Campaign;Alimentaire
P000083;Offer;Alimentaire
P000084;School;Textile
P000085;Stuff;Électronique
P000086;Trouble;Maison
P000087;Face;Maison
P000088;Morning;Textile
P000089;Generation;Maison
P000090;Later;Loisir
P000091;Hotel;Textile
P000092;Discuss;Électronique
P000093;Six;Textile
P000094;Glass;Loisir
P000095;Example;Maison
P000096;Resource;Textile
P000097;House;Textile
P000098;Part;Maison
P000099;Couple;Maison
P000100;Practice;Alimentaire
P000101;Call;Alimentaire
P000102;Staff;Électronique
P000103;Style;Loisir
P000104;Our;Maison
P000105;Knowledge;Maison
P000106;Direction;Électronique
P000107;Down;Textile
P000108;Early;Loisir
P000109;Act;Électronique
P000110;Administration;Maison
P000111;Control;Électronique
P000112;Do;Électronique
P000113;Better;Électronique
P000114;Popular;Textile
P000115;Alone;Électronique
P000116;Our;Alimentaire
P000117;Resource;Alimentaire
P000118;Various;Loisir
P000119;Message;Alimentaire
P000120;Everybody;Électronique
P000121;Store;Alimentaire
P000122;Piece;Loisir
P000123;High;Loisir
P000124;Brother;Textile
P000125;Success;Alimentaire
P000126;White;Loisir
P000127;Over;Textile
P000128;Pay;Maison
P000129;Member;Textile
P000130;Structure;Textile
P000131;Each;Textile
P000132;Reveal;Alimentaire
P000133;Dream;Maison
P000134;Car;Électronique
P000135;Start;Loisir
P000136;Security;Électronique
P000137;Happy;Alimentaire
P000138;Few;Électronique
P000139;Analysis;Textile
P000140;Career;Textile
P000141;Past;Textile
P000142;Consumer;Électronique
P000143;About;Maison
P000144;Me;Loisir
P000145;Question;Électronique
P000146;Evidence;Textile
P000147;Guy;Loisir
P000148;Lose;Textile
P000149;Now;Électronique
P000150;Attack;Maison
P000151;Rather;Textile
P000152;Really;Loisir
P000153;Common;Électronique
P000154;Against;Alimentaire
P000155;Often;Textile
P000156;Business;Alimentaire
P000157;Everyone;Textile
P000158;Information;Électronique
P000159;Operation;Maison
P000160;I;Électronique
P000161;Nothing;Alimentaire
P000162;Door;Textile
P000163;Stop;Alimentaire
P000164;When;Maison
P000165;Site;Alimentaire
P000166;Animal;Électronique
P000167;Beautiful;Électronique
P000168;Successful;Électronique
P000169;Woman;Textile
P000170;Likely;Électronique
P000171;Could;Électronique
P000172;Anything;Électronique
P000173;Quality;Textile
P000174;Create;Maison
P000175;Wish;Électronique
P000176;Half;Textile
P000177;Teach;Électronique
P000178;Fight;Électronique
P000179;Character;Maison
P000180;Describe;Textile
P000181;How;Textile
P000182;Me;Loisir
P000183;Almost;Loisir
P000184;Behind;Loisir
P000185;Suggest;Textile
P000186;From;Électronique
P000187;Bank;Textile
P000188;Owner;Alimentaire
P000189;Dinner;Alimentaire
P000190;Reveal;Électronique
P000191;Remain;Électronique
P000192;Often;Alimentaire
P000193;Behind;Textile
P000194;Eight;Alimentaire
P000195;Property;Électronique
P000196;She;Loisir
P000197;Any;Textile
P000198;Ready;Loisir
P000199;Guy;Électronique
P000200;Few;Électronique
P000201;Itself;Textile
P000202;Apply;Textile
P000203;White;Maison
P000204;Serious;Textile
P000205;Fact;Électronique
P000206;Other;Textile
P000207;Who;Textile
P000208;Main;Électronique
P000209;Imagine;Textile
P000210;West;Loisir
P000211;Approach;Électronique
P000212;Friend;Textile
P000213;Strategy;Loisir
P000214;Image;Loisir
P000215;Among;Alimentaire
P000216;International;Maison
P000217;Set;Maison
P000218;Treat;Électronique
P000219;Cause;Loisir
P000220;Party;Alimentaire
P000221;Meeting;Maison
P000222;Science;Loisir
P000223;Ready;Alimentaire
P000224;Goal;Loisir
P000225;Player;Électronique
P000226;Too;Maison
P000227;Especially;Électronique
P000228;Field;Maison
P000229;Type;Électronique
P000230;Tv;Loisir
P000231;Worry;Électronique
P000232;Spring;Textile
P000233;Control;Électronique
P000234;Fight;Textile
P000235;Then;Alimentaire
P000236;Learn;Alimentaire
P000237;Science;Textile
P000238;Ask;Textile
P000239;Middle;Maison
P000240;Anything;Alimentaire
P000241;Each;Maison
P000242;Involve;Textile
P000243;Stage;Maison
P000244;City;Maison
P000245;Themselves;Alimentaire
P000246;Scene;Électronique
P000247;Event;Alimentaire
P000248;Water;Alimentaire
P000249;Public;Électronique
P000250;Hear;Électronique
P000251;Have;Maison
P000252;Enough;Alimentaire
P000253;Shoulder;Alimentaire
P000254;Mouth;Maison
P000255;Enjoy;Alimentaire
P000256;Budget;Loisir
P000257;Policy;Maison
P000258;Guy;Loisir
P000259;Herself;Textile
P000260;Analysis;Maison
P000261;Talk;Alimentaire
P000262;Half;Alimentaire
P000263;Sea;Alimentaire
P000264;Character;Alimentaire
P000265;Throughout;Maison
P000266;On;Loisir
P000267;Chair;Maison
P000268;Word;Textile
P000269;Race;Alimentaire
P000270;Community;Maison
P000271;See;Alimentaire
P000272;Administration;Loisir
P000273;Expect;Alimentaire
P000274;Need;Alimentaire
P000275;Month;Textile
P000276;Interest;Électronique
P000277;Generation;Textile
P000278;My;Alimentaire
P000279;Stage;Alimentaire
P000280;Produce;Électronique
P000281;Set;Maison
P000282;Keep;Textile
P000283;Leave;Maison
